DL,1201,ATL,IAD,2156,2343
OO,5527,ATL,IAH,635,748
EV,5174,ATL,IAH,730,841
DL,1443,ATL,IAH,915,1035
NK,363,ATL,IAH,940,1050
DL,1675,ATL,IAH,1206,1324
DL,1489,ATL,IAH,1345,1506
OO,5169,ATL,IAH,1440,1558
DL,2208,ATL,IAH,1500,1622
NK,227,ATL,IAH,1558,1706
DL,1884,ATL,IAH,1625,1743
EV,5159,ATL,IAH,1740,1853
UA,1188,ATL,IAH,1856,2017
DL,2146,ATL,IAH,1925,2048
DL,2249,ATL,IAH,2205,2322
DL,2463,ATL,ICT,916,1030
DL,2567,ATL,ICT,1449,1612
DL,2459,ATL,ICT,1935,2102
EV,5462,ATL,ILM,947,1109
EV,4955,ATL,ILM,1233,1351
EV,4870,ATL,ILM,1624,1740
DL,1395,ATL,ILM,1931,2047
OO,4476,ATL,ILM,2210,2328
DL,796,ATL,IND,735,901
WN,1474,ATL,IND,825,1000
DL,1127,ATL,IND,950,1120
DL,1613,ATL,IND,1207,1339
DL,1534,ATL,IND,1440,1613
DL,2281,ATL,IND,1610,1744
WN,913,ATL,IND,1610,1735
DL,1535,ATL,IND,1914,2051
DL,1261,ATL,IND,2055,2231
DL,2804,ATL,IND,2208,2341
WN,2216,ATL,IND,2255,25
DL,1580,ATL,JAN,820,835
DL,1163,ATL,JAN,1050,1111
DL,1228,ATL,JAN,1211,1230
DL,2478,ATL,JAN,1454,1512
DL,799,ATL,JAN,1749,1810
DL,2041,ATL,JAN,1935,1959
DL,2542,ATL,JAN,2210,2231
DL,997,ATL,JAX,730,835
DL,2380,ATL,JAX,830,933
DL,1258,ATL,JAX,930,1037
WN,264,ATL,JAX,955,1110
DL,1317,ATL,JAX,1030,1138
DL,2342,ATL,JAX,1130,1239
DL,2297,ATL,JAX,1230,1337
DL,1416,ATL,JAX,1330,1433
WN,1027,ATL,JAX,1355,1500
DL,2546,ATL,JAX,1430,1537
DL,1789,ATL,JAX,1631,1743
DL,2555,ATL,JAX,1731,1841
WN,1201,ATL,JAX,1900,2010
DL,1273,ATL,JAX,1926,2036
DL,2593,ATL,JAX,2034,2146
DL,1090,ATL,JAX,2200,2311
DL,1070,ATL,JAX,2310,17
DL,2350,ATL,JFK,820,1029
DL,976,ATL,JFK,1031,1248
DL,478,ATL,JFK,1210,1440
DL,1992,ATL,JFK,1502,1729
DL,1296,ATL,JFK,1743,2009
DL,883,ATL,JFK,2155,15
WN,1183,ATL,LAS,755,940
DL,2203,ATL,LAS,821,950
DL,2002,ATL,LAS,942,1113
DL,1402,ATL,LAS,1100,1237
DL,1897,ATL,LAS,1343,1518
WN,2361,ATL,LAS,1350,1530
DL,109,ATL,LAS,1615,1755
DL,67,ATL,LAS,1740,1913
DL,814,ATL,LAS,1955,2130
WN,2625,ATL,LAS,1955,2140
NK,805,ATL,LAS,2025,2140
F9,1457,ATL,LAS,2155,2330
DL,1606,ATL,LAS,2159,2335
WN,1823,ATL,LAS,2205,2345
AA,2515,ATL,LAX,715,915
DL,924,ATL,LAX,729,930
WN,1208,ATL,LAX,815,1030
DL,110,ATL,LAX,816,1020
DL,1181,ATL,LAX,957,1200
NK,473,ATL,LAX,1045,1233
DL,1555,ATL,LAX,1100,1300
AA,2437,ATL,LAX,1230,1430
DL,1655,ATL,LAX,1230,1430
WN,3740,ATL,LAX,1315,1520
DL,1755,ATL,LAX,1344,1545
F9,1479,ATL,LAX,1505,1710
DL,1219,ATL,LAX,1513,1715
DL,1955,ATL,LAX,1633,1840
DL,2808,ATL,LAX,1803,2010
AA,1249,ATL,LAX,1835,2039
DL,17,ATL,LAX,1941,2150
WN,1746,ATL,LAX,2105,2320
DL,2355,ATL,LAX,2153,2355
DL,2513,ATL,LEX,950,1105
DL,840,ATL,LEX,1210,1324
DL,828,ATL,LEX,1449,1604
EV,4964,ATL,LEX,1655,1809
EV,5043,ATL,LEX,1815,1926
DL,1888,ATL,LEX,2059,2219
DL,898,ATL,LEX,2305,17
EV,5597,ATL,LFT,1005,1055
EV,5071,ATL,LFT,1305,1352
EV,5602,ATL,LFT,1614,1702
DL,2614,ATL,LFT,2020,2109
WN,129,ATL,LGA,540,745
DL,786,ATL,LGA,600,814
DL,886,ATL,LGA,645,900
F9,1462,ATL,LGA,655,900
DL,986,ATL,LGA,745,1000
DL,2486,ATL,LGA,845,1105
WN,1701,ATL,LGA,845,1055
DL,1186,ATL,LGA,945,1159
DL,1286,ATL,LGA,1045,1301
DL,1386,ATL,LGA,1145,1400
WN,3018,ATL,LGA,1220,1435
DL,1486,ATL,LGA,1245,1459
DL,1586,ATL,LGA,1345,1610
DL,1786,ATL,LGA,1445,1700
DL,802,ATL,LGA,1545,1807
MQ,3248,ATL,LGA,1606,1820
DL,1886,ATL,LGA,1645,1910
WN,248,ATL,LGA,1725,1935
DL,1986,ATL,LGA,1745,2010
DL,2086,ATL,LGA,1845,2104
DL,2186,ATL,LGA,1945,2159
DL,906,ATL,LGA,2045,2301
WN,1254,ATL,LGA,2050,2305
DL,2386,ATL,LGA,2130,2347
DL,1913,ATL,LIT,855,925
DL,1863,ATL,LIT,1026,1105
DL,1861,ATL,LIT,1351,1430
DL,971,ATL,LIT,1610,1648
DL,1413,ATL,LIT,1917,2001
DL,1432,ATL,LIT,2158,2240
EV,5282,ATL,LNK,1950,2121
DL,701,ATL,MCI,820,929
WN,4065,ATL,MCI,835,955
DL,2075,ATL,MCI,1028,1137
DL,1250,ATL,MCI,1209,1322
DL,918,ATL,MCI,1450,1559
WN,594,ATL,MCI,1550,1700
DL,1364,ATL,MCI,1600,1713
DL,882,ATL,MCI,1830,1941
DL,1587,ATL,MCI,1940,2056
WN,323,ATL,MCI,2100,2215
DL,2831,ATL,MCI,2159,2312
NK,1013,ATL,MCO,600,720
DL,1818,ATL,MCO,655,820
DL,2118,ATL,MCO,755,919
